אבו ג'ווייעד (שבט),אבו ג'ווייעד (שבט)  
אל-מיעראג' סמ3,ירושלים             
אל-מיעראג' סמ4,ירושלים             
אל-מיעראג' סמ6,ירושלים             
אל-מיעראג' סמ7,ירושלים             
אל-מנג'ל,ירושלים             
אל-מסעודי,ירושלים             
אל-מסעודי סמ1,ירושלים             
אל-מעאני,ירושלים             
אל-מעהד,ירושלים             
אל-מעהד סמ1,ירושלים             
אל-מעהד סמ11,ירושלים             
אל-מעהד סמ3,ירושלים             
אל-מעהד סמ5,ירושלים             
אל-מעהד סמ7,ירושלים             
אל-מעהד סמ9,ירושלים             
אל-מעני סמ1,ירושלים             
אל-מקפה סמ10,ירושלים             
אל-מקפה סמ1,ירושלים             
אל-מקפה סמ12,ירושלים             
אל-מקפה סמ14,ירושלים             
אל-מקפה סמ5,ירושלים             
אל-מקפה סמ6,ירושלים             
אל-מקפה סמ16,ירושלים             
אל-מקפה סמ8,ירושלים             
אל-מקפה סמ9,ירושלים             
אל-מראבטין,ירושלים             
אל-מראבטין סמ1,ירושלים             
אל-מראבטין סמ2,ירושלים             
אל-מראבטין סמ3,ירושלים             
אל-מראבטין סמ4,ירושלים             
אל-מראבטין סמ5,ירושלים             
אל-מראבטין סמ6,ירושלים             
אל-מראבטין סמ7,ירושלים             
אל-מרוג',ירושלים             
אל-מרוג' סמ1,ירושלים             
אל-מרוג' סמ2,ירושלים             
אל-מרוג' סמ3,ירושלים             
אל-מרוג' סמ4,ירושלים             
אל-מרוג' סמ5,ירושלים             
אל-מרוג' סמ6,ירושלים             
אל-מרכז אל-ג'מאהירי,ירושלים             
אל-משאהד,ירושלים             
אל-משאהד סמ1,ירושלים             
אל-משאהד סמ2,ירושלים             
אל-משאהד סמ3,ירושלים             
אל-משאהד סמ4,ירושלים             
אל-משאהד סמ5,ירושלים             
אל-משאהד סמ6,ירושלים             
אל-משאהד סמ7,ירושלים             
אל-משאהד סמ8,ירושלים             
אל-משרק,ירושלים             
אל-משרק סמ1,ירושלים             
אל-משרק סמ2,ירושלים             
אל-נאדי,ירושלים             
אל-נאדי סמ1,ירושלים             
אל-נאדי סמ3,ירושלים             
אל-נאדי סמ5,ירושלים             
אל-נבי יונס,ירושלים             
אל-נג'ום,ירושלים             
אל-נובלא',ירושלים             
אל-נובלא' סמ2,ירושלים             
אל-נוורס,ירושלים             
אל-נפל,ירושלים             
אל-נפל סמ1,ירושלים             
אל-נפל סמ2,ירושלים             
אל-נת'יר סמ2,ירושלים             
אל-נת'יר סמ4,ירושלים             
אל-נת'יר סמ6,ירושלים             
אל-סאלחין,ירושלים             
אל-סאלחין סמ2,ירושלים             
אל-סאלחין סמ3,ירושלים             
אל-סאלחין סמ5,ירושלים             
אל-סביל,ירושלים             
אל-סביל סמ2,ירושלים             
אל-סביל סמ3,ירושלים             
אל-סביל סמ4,ירושלים             
אל-סביל סמ5,ירושלים             
אל-סביל סמ6,ירושלים             
אל-סהל אל-ג'דיד,ירושלים             
אל-סהל אל-ג'דיד סמ2,ירושלים             
אל-סהל אל-ג'דיד סמ4,ירושלים             
אל-סהל אל-ג'דיד סמ5,ירושלים             
אל-סהל אל-ג'דיד סמ6,ירושלים             
אל-סהל אל-ג'דיד סמ7,ירושלים             
אל-סהל אל-ג'דיד סמ8,ירושלים             
אל-סהל אל-ג'דידסמ10,ירושלים             
אל-סוויח,ירושלים             
אל-סוויח סמ3,ירושלים             
אל-סווסנה,ירושלים             
אל-סולטאן,ירושלים             
אל-סולטאן סמ1,ירושלים             
אל-סולטאן סמ2,ירושלים             
אל-סולטאן סמ4,ירושלים             
אל-סולטאן סמ5,ירושלים             
אל-סולטאן סמ6,ירושלים             
אל-סולם,ירושלים             
אל-סידר,ירושלים             
אל-סלאם,ירושלים             
אל-עדל,ירושלים             
אל-עדל סמ1,ירושלים             
אל-עדל סמ5,ירושלים             
אל-עדל סמ7,ירושלים             
אל-עהד,ירושלים             
אל-עהד סמ2,ירושלים             
אל-עולמא,ירושלים             
אל-עומרי,ירושלים             
אל-עומרי סמ3,ירושלים             
אל-עומריין,ירושלים             
אל-עומריין סמ1,ירושלים             
אל-עומריין סמ2,ירושלים             
אל-עשרק,ירושלים             
אל-עשרק סמ1,ירושלים             
אל-עשרק סמ3,ירושלים             
אל-פארוק,ירושלים             
אל-פארוק סמ1,ירושלים             
אל-פארוק סמ2,ירושלים             
אל-פארוק סמ3,ירושלים             
אל-פאתח,ירושלים             
אל-פורקאן,ירושלים             
אל-פרסאן,ירושלים             
אל-פרסאן סמ2,ירושלים             
אל-פרסאן סמ3,ירושלים             
אל-פרסאן סמ4,ירושלים             
אל-פרסאן סמ6,ירושלים             
אל-פרסאן סמ8,ירושלים             
אל-צלעה,ירושלים             
אל-צלעה סמ1,ירושלים             
אל-צלעה סמ2,ירושלים             
אל-צלעה סמ3,ירושלים             
אל-צלעה סמ4,ירושלים             
אל-צלעה סמ6,ירושלים             
אל-צלעה סמ8,ירושלים             
אל-צפא,ירושלים             
אל-צפא סמ2,ירושלים             
אל-צפא סמ4,ירושלים             
אל-קאדי אל-פאדל,ירושלים             
אל-קאעה,ירושלים             
אל-קאעה סמ1,ירושלים             
אל-קימה,ירושלים             
אל-קלעה,ירושלים             
אל-קצר,ירושלים             
אל-קש,ירושלים             
אל-ראביא,ירושלים             
אל-ראביא סמ2,ירושלים             
אל-רוא'יה,ירושלים             
אל-רוא'יה סמ1,ירושלים             
אל-רוא'יה סמ3,ירושלים             
אל-רוא'יה סמ4,ירושלים             
אל-רוא'יה סמ5,ירושלים             
אל-רחמה,ירושלים             
אל-רחמה סמ2,ירושלים             
אל-ריחאן,ירושלים             
אל-רסם,ירושלים             
אל-רסם סמ2,ירושלים             
אל-רסם סמ4,ירושלים             
אל-שהד,ירושלים             
אל-שהד סמ1,ירושלים             
אל-שיאח,ירושלים             
אל-שיח' ענבר,ירושלים             
אל-שיח' ענבר סמ10,ירושלים             
אל-שיח' ענבר סמ11,ירושלים             
אל-שיח' ענבר סמ2,ירושלים             
אל-שיח' ענבר סמ12,ירושלים             
אל-שיח' ענבר סמ6,ירושלים             
אל-שיח' ענבר סמ7,ירושלים             
אל-שיח' ענבר סמ8,ירושלים             
אל-שיח' ענבר סמ9,ירושלים             
אל-ת'ורי,ירושלים             
אל-ת'ורי סמ10,ירושלים             
אל-ת'ורי סמ2,ירושלים             
אל-ת'ורי סמ3,ירושלים             
אל-ת'ורי סמ4,ירושלים             
אל-ת'ורי סמ5,ירושלים             
אל-ת'ורי סמ6,ירושלים             
אל-ת'ורי סמ7,ירושלים             
אל-ת'ורי סמ8,ירושלים             
אל-ת'ורי סמ9,ירושלים             
אל-תווחיד סמ1,ירושלים             
אל-תווחיד סמ2,ירושלים             
אל-תין אל-ע'רבי,ירושלים             
אל-תסאמח,ירושלים             
אל-תסאמח סמ2,ירושלים             
אל-תסאמח סמ4,ירושלים             
אל-תראב,ירושלים             
אלאימאן,ירושלים             
אלאסראא,ירושלים             
אלבו יוסף,ירושלים             
אלביאן,ירושלים             
אלבירוני,ירושלים             
אלבירוני סמ10,ירושלים             
אלבירוני סמ4,ירושלים             
אלבירוני סמ8,ירושלים             
אלבק חנוך,ירושלים             
אלגזי,ירושלים             
אלגניד,ירושלים             
אלהג'רה,ירושלים             
אלהיג'רה סמ1,ירושלים             
אלוני שחר,ירושלים             
אלוף יוחאי בן נון,ירושלים             
אלוף שאלתיאל,ירושלים             
אלוף שמחוני,ירושלים             
אלזבייר בן אלעוואם,ירושלים             
אלזה,ירושלים             
אלזיתונה,ירושלים             
אלזיתונה סמ10,ירושלים             
אלזיתונה סמ11,ירושלים             
אלזיתונה סמ12,ירושלים             
אלזיתונה סמ5,ירושלים             
אלזיתונה סמ7,ירושלים             
אלזיתונה סמ8,ירושלים             
אלזיתונה סמ9,ירושלים             
אלח'יר,ירושלים             
אלחארה אלווסטא,ירושלים             
אלחארה אלווסטא סמ2,ירושלים             
אלחארה אלווסטא סמ4,ירושלים             
אלחארה אלווסטא סמ8,ירושלים             
אלחדיביה,ירושלים             
אלחדיביה סמ3,ירושלים             
אלחדיביה סמ5,ירושלים             
אלחריזי,ירושלים             
אלטמן אריה,ירושלים             
אלי כהן,ירושלים             
אליאב יעקב,ירושלים             
אליאך יוסף,ירושלים             
אליאל דרור,ירושלים             
אליאשברג,ירושלים             
אליהו יעקב בנאי,ירושלים             
אליוט,ירושלים             
אלימלך מלז'ינסק,ירושלים             
אליעזר הגדול,ירושלים             
אליעזר שילוני,ירושלים             
אליעזרוב,ירושלים             
אליפז,ירושלים             
אליצור יהודה,ירושלים             
אלירמוך,ירושלים             
אלישיב,ירושלים             
אלישע,ירושלים             
אלישר,ירושלים             
אלכארמה,ירושלים             
אלכסנדר אל ח'ורי,ירושלים             
אלכסנדריון,ירושלים             
אלמדינה מונורה,ירושלים             
אלמדינה מונורה סמ5,ירושלים             
אלמדינה מונורה סמ15,ירושלים             
אלמדינה מונורה סמ6,ירושלים             
אלמדינה מונורה סמ7,ירושלים             
אלמדינה מונורה סמ8,ירושלים             
אלמדינה מונורה סמ9,ירושלים             
אלמוג,ירושלים             
אלמוח'תאר סמ1,ירושלים             
אלמות'ינא בן חארת'א,ירושלים             
אלמזדלפה,ירושלים             
אלמליח אברהם,ירושלים             
אלמלכ אלמועט'ם עיסא,ירושלים             
אלמסק,ירושלים             
אלמרוחה,ירושלים             
אלמרוחה סמ10,ירושלים             
אלמרוחה סמ11,ירושלים             
אלמרוחה סמ12,ירושלים             
אלמרוחה סמ3,ירושלים             
אלמרוחה סמ13,ירושלים             
אלמרוחה סמ14,ירושלים             
אלמרוחה סמ5,ירושלים             
אלמרוחה סמ15,ירושלים             
אלמרוחה סמ7,ירושלים             
אלמרוחה סמ8,ירושלים             
אלמרוחה סמ9,ירושלים             
אלמרכז,ירושלים             
אלנור,ירושלים             
אלנור סמ4,ירושלים             
אלסבר,ירושלים             
אלסדאקה,ירושלים             
אלסדאקה סמ10,ירושלים             
אלסדאקה סמ12,ירושלים             
אלסדאקה סמ5,ירושלים             
אלסהל אלאח'דר,ירושלים             
אלסהל אלאח'דר סמ10,ירושלים             
אלסהל אלאח'דר סמ2,ירושלים             
אלסהל אלאח'דר סמ12,ירושלים             
אלסהל אלאח'דר סמ4,ירושלים             
אלסהל אלאח'דר סמ6,ירושלים             
אלסהל אלאח'דר סמ7,ירושלים             
אלסנאבל,ירושלים             
אלסעאדה,ירושלים             
אלעזר דוד,ירושלים             
אלעזר המודעי,ירושלים             
אלעזר המכבי,ירושלים             
אלעלם,ירושלים             
אלעלם סמ3,ירושלים             
אלעקבה,ירושלים             
אלעקבה סמ2,ירושלים             
אלעקבה סמ5,ירושלים             
אלעקבה סמ7,ירושלים             
אלעקבה סמ8,ירושלים             
אלעשה,ירושלים             
אלפג'ר,ירושלים             
אלפנדרי,ירושלים             
אלפסי,ירושלים             
אלפרדוס,ירושלים             
אלקבץ,ירושלים             
אלקות'ר,ירושלים             
אלקחי מרדכי,ירושלים             
אלקלעי,ירושלים             
אלקנה,ירושלים             
אלקעקאע,ירושלים             
אלראזי,ירושלים             
אלרדואן,ירושלים             
אלרדואן סמ3,ירושלים             
אלרואי דוד,ירושלים             
אלרסאלה,ירושלים             
אלרסאלה סמ3,ירושלים             
אלשיך,ירושלים             
אלשימאא,ירושלים             
אלתון,ירושלים             
אלתון סמ2,ירושלים             
אלתון סמ4,ירושלים             
אלתון סמ5,ירושלים             
אלתון סמ7,ירושלים             
אלתין,ירושלים             
אלתקווא,ירושלים             
אם הבנים,ירושלים             
אמא שלום,ירושלים             
אמאם אבו חניפה סמ1,ירושלים             
אמאם אלבוח'ארי,ירושלים             
אמאם אלבוח'ארי סמ3,ירושלים             
אמדורסקי ירחמיאל,ירושלים             
אמיל בוטה,ירושלים             
אמיל זולא,ירושלים             
אמיר,ירושלים             
אמיר דרורי,ירושלים             
אמציה,ירושלים             
אמרי בינה,ירושלים             
אמרי חיים,ירושלים             
אמרי נועם,ירושלים             
אמרי קלמן,ירושלים             
אמת המים,ירושלים             
אמת ליעקב,ירושלים             
אנוסי משהד,ירושלים             
אנטון שוקרי לורנס,ירושלים             
אנטוניה,ירושלים             
אנטוקולסקי מרדכי,ירושלים             
אנטיגנוס,ירושלים             
אנילביץ,ירושלים             
אנסארי,ירושלים             
אנסארי חסן בן ת'אבת,ירושלים             
אסא,ירושלים             
אסבעקאת,ירושלים             
אסטורה,ירושלים             
אסירי ציון,ירושלים             
אסתר בר חיים,ירושלים             
אסתר המלכה,ירושלים             
אע'ביתה,ירושלים             
אע'ביתה סמ2,ירושלים             
אע'זייל,ירושלים             
אע'זייל סמ1,ירושלים             
אע'זייל סמ3,ירושלים             
אע'זייל סמ6,ירושלים             
אעלה בתמר,ירושלים             
אפודי,ירושלים             
אפרים,ירושלים             
אפרסמון,ירושלים             
אפרתה,ירושלים             
אפשטיין יעקב נחום,ירושלים             
אפשטיין יצחק,ירושלים             
אצ"ל,ירושלים             
ארבל,ירושלים             
ארבעת המינים,ירושלים             
ארגוב אליעזר,ירושלים             
ארד א סמר,ירושלים             
ארד אל עקבה,ירושלים             
ארונה היבוסי,ירושלים             
ארזי הבירה,ירושלים             
ארזי ראובן,ירושלים             
ארי במסתרים,ירושלים             
אריאל,ירושלים             
אריסטובלוס,ירושלים             
אריסטיאס,ירושלים             
ארלוזורוב,ירושלים             
ארנון יעקב,ירושלים             
ארנונה הצעירה,ירושלים             
ארסט אברהם,ירושלים             
ארץ חפץ,ירושלים             
ארציאלי חוה,ירושלים             
אררט,ירושלים             
אשכולי אהרון,ירושלים             
אשכנזי,ירושלים             
אשר,ירושלים             
אשתורי הפרחי,ירושלים             
אתיופיה,ירושלים             
ב אונגר מאה שערים,ירושלים             
ב חנינה קלנדיה,ירושלים             
ב טנוס מרכז מסחרי,ירושלים             
ב מילנר שכ ב,ירושלים             
ב ניטין מאה שערים,ירושלים             
ב סטואר מאה שערים,ירושלים             
ב רוט מאה שערים,ירושלים             
באב א זהרה,ירושלים             
באב א מגרבה,ירושלים             
באב א סיפה,ירושלים             
באב אל חדיד,ירושלים             
באב אל עמוד,ירושלים             
באום שלמה,ירושלים             
באזוב דוד,ירושלים             
באכר זאב,ירושלים             
באר מים חיים,ירושלים             
באר שבע,ירושלים             
בארות יצחק,ירושלים             
בארי,ירושלים             
בב חוטה,ירושלים             
בבלי חנה,ירושלים             
בג'יו חיים,ירושלים             
בדור,ירושלים             
בדר,ירושלים             
בדר סמ4,ירושלים             
בהא אל-דין,ירושלים             
בהרן שלמה זלמן,ירושלים             
בובליק גדליה,ירושלים             
בובר מרטין,ירושלים             
בודנהימר,ירושלים             
בוזגלו אשריאל,ירושלים             
בוליביה,ירושלים             
בונהונטורה אנצ'ו,ירושלים             
בוני החומה,ירושלים             
בוסתנאי,ירושלים             
בועז,ירושלים             
בועז הבבלי,ירושלים             
בוקסבאום מרדכי,ירושלים             
בורג אל פדי,ירושלים             
בורג לקלק,ירושלים             
בורוכוב,ירושלים             
בורלא יהודה,ירושלים             
בושם,ירושלים             
בזל,ירושלים             
בזק בצלאל,ירושלים             
בטיש שמעון,ירושלים             
בטן אל-הווא,ירושלים             
בטן אל-הווא סמ10,ירושלים             
בטן אל-הווא סמ3,ירושלים             
בטן אל-הווא סמ7,ירושלים             
בטן אל-הווא סמ8,ירושלים             
בי רב יעקב,ירושלים             
בי"ח חמדת הרים,ירושלים             
בי"ח עזרת נשים,ירושלים             
בי"ח שערי צדק,ירושלים             
בי"ס למדעים ואומנוי,ירושלים             
ביאליק,ירושלים             
ביאנקיני,ירושלים             
ביבאס,ירושלים             
ביבארס,ירושלים             
בידון,ירושלים             
ביח אלין,ירושלים             
ביח כפר שאול,ירושלים             
ביח סנט גון,ירושלים             
בייט שמואל,ירושלים             
בייליס מנדל,ירושלים             
ביל"ו,ירושלים             
בינת יששכר,ירושלים             
ביסאן,ירושלים             
ביצ'אצ'ו אברהם,ירושלים             
ביצור יהושע,ירושלים             
ביר אבו ח'שבה,ירושלים             
ביר אבו ח'שבה סמ1,ירושלים             
ביר אבו ח'שבה סמ3,ירושלים             
ביר איוב,ירושלים             
ביר אל אסביל,ירושלים             
ביר אל סביל,ירושלים             
ביר אל-חמראה',ירושלים             
ביר אל-כורום,ירושלים             
ביר אל-כורום סמ1,ירושלים             
ביר אל-כורום סמ2,ירושלים             
ביר אל-כורום סמ3,ירושלים             
ביר אל-כורום סמ5,ירושלים             
ביר אל-עקבה,ירושלים             
ביר אל-עקבה סמ1,ירושלים             
ביר אלזחלוק,ירושלים             
ביר אלזחלוק סמ2,ירושלים             
ביר מנסור,ירושלים             
ביר סאלם,ירושלים             
ביר סאלם סמ11,ירושלים             
ביר סאלם סמ4,ירושלים             
ביר סאלם סמ6,ירושלים             
ביר סאלם סמ7,ירושלים             
ביר סאלם סמ8,ירושלים             
ביר סאלם סמ9,ירושלים             
ביר עונה,ירושלים             
ביר עמדך,ירושלים             
בירן שושנה,ירושלים             
בירנבאום,ירושלים             
בית אל,ירושלים             
בית אשל,ירושלים             
בית גאלה,ירושלים             
בית גיורא,ירושלים             
בית האבן,ירושלים             
בית הדפוס,ירושלים             
בית הטירה,ירושלים             
בית היוצר,ירושלים             
בית הכרם,ירושלים             
בית הכרמל,ירושלים             
בית הלחמי,ירושלים             
בית המעיין,ירושלים             
בית הערבה,ירושלים             
בית הצופה,ירושלים             
בית הקרן,ירושלים             
בית הקשתות,ירושלים             
בית השואבה,ירושלים             
בית וגן,ירושלים             
בית חגלה,ירושלים             
בית חנינא החדשה,ירושלים             
בית טובי העיר,ירושלים             
בית יעקב,ירושלים             
בית יצחק,ירושלים             
בית ישראל,ירושלים             
בית פאג'י,ירושלים             
בית פאג'י סמ2,ירושלים             
בית צור,ירושלים             
בית צורי אליהו,ירושלים             
בית צפפה,ירושלים             
בית קנדה,ירושלים             
בית שערים,ירושלים             
בית"ר,ירושלים             
בכר נסים,ירושלים             
בלבן מאיר,ירושלים             
בלד אל קדימה,ירושלים             
בלדיה,ירושלים             
בלומנפלד,ירושלים             
בלזר יצחק,ירושלים             
בלילוס,ירושלים             
בלכר נחום,ירושלים             
בלפור,ירושלים             
בן אליעזר אריה,ירושלים             
בן אלעס עמר,ירושלים             
בן בבא,ירושלים             
בן גבריאל,ירושלים             
בן גוביל מעאדי,ירושלים             
בן גמלא יהושע,ירושלים             
בן דב יעקב,ירושלים             
בן דוסא,ירושלים             
בן דור יצחק,ירושלים             
בן הלל,ירושלים             
בן זאב ישראל,ירושלים             
בן חמו שמעון,ירושלים             
בן חנן מיכאל,ירושלים             
בן חפץ טוביה,ירושלים             
בן טבאי,ירושלים             
בן יאיר אלעזר,ירושלים             
בן יהודה,ירושלים             
בן יוסף שלמה,ירושלים             
בן יחזקאל מרדכי,ירושלים             
בן יפונה,ירושלים             
בן ישראל מנשה,ירושלים             
בן לברט,ירושלים             
בן נריה ברוך,ירושלים             
בן סירא,ירושלים             
בן סרוק,ירושלים             
בן עדיה שמואל,ירושלים             
בן עדיה שמואל סמ6,ירושלים             
בן עוזיאל,ירושלים             
בן עזאי,ירושלים             
בן עטר,ירושלים             
בן עמרם,ירושלים             
בן ציון,ירושלים             
בן ציון נתניהו,ירושלים             
בן קהת עמרם,ירושלים             
בן רבאח בילאל,ירושלים             
בן שדאד ענטרה,ירושלים             
בן שמעון דוד,ירושלים             
בנאת אבו בכר,ירושלים             
בנאת אבו בכר סמ1,ירושלים             
בנאת אבו בכר סמ2,ירושלים             
בנאת אבו בכר סמ4,ירושלים             
בנאת אבו בכר סמ6,ירושלים             
בנאת אבו בכר סמ8,ירושלים             
בנה ביתך גילה,ירושלים             
בנה ביתך רמות,ירושלים             
בנטויץ,ירושלים             
בני אומייה,ירושלים             
בני אומייה סמ1,ירושלים             
בני אומייה סמ3,ירושלים             
בני ברית,ירושלים             
בני בתירא,ירושלים             
בניהו,ירושלים             
בנימין,ירושלים             
בנימין מטודלה,ירושלים             
בנק ישראל,ירושלים             
בסאן יצחק,ירושלים             
בעהם אריה,ירושלים             
בעל אור שמח,ירושלים             
בעל השאילתות,ירושלים             
בעל התניא,ירושלים             
בעלי מלאכה,ירושלים             
בצלאל,ירושלים             
בצראווי בצלאל,ירושלים             
בק,ירושלים             
בקור חולים,ירושלים             
בקי,ירושלים             
בר און אורי,ירושלים             
בר אילן,ירושלים             
בר גיורא,ירושלים             
בר זכאי ישעיה,ירושלים             
בר יוחאי,ירושלים             
בר יקר דב,ירושלים             
בר כוכבא,ירושלים             
בר לביא רפאל,ירושלים             
בר ניסן,ירושלים             
בראון אליהו,ירושלים             
בראנד אהרון,ירושלים             
בראשי זלמן,ירושלים             
ברגמן אליעזר,ירושלים             
ברגר,ירושלים             
ברדנוב ירמיהו,ירושלים             
ברודצקי,ירושלים             
ברוזה שמואל,ירושלים             
ברויאר יצחק,ירושלים             
ברוכוף משיח,ירושלים             
ברוכי יהושע,ירושלים             
ברוכים שמואל,ירושלים             
ברוסקינה מאשה,ירושלים             
ברוריה,ירושלים             
ברזיל,ירושלים             
ברזילי,ירושלים             
ברזני משה,ירושלים             
ברכיהו,ירושלים             
ברכת אברהם,ירושלים             
ברל לוקר,ירושלים             
ברנדויין שמואל,ירושלים             
ברנדיס,ירושלים             
ברנט זרח,ירושלים             
ברניקי,ירושלים             
ברנר,ירושלים             
ברנשטיין פרץ,ירושלים             
ברק,ירושלים             
ברקאי,ירושלים             
ברקוק,ירושלים             
ברקלי שאול,ירושלים             
ברקת,ירושלים             
ברש מנחם רועי,ירושלים             
בת שבע,ירושלים             
בתי ברוידה,ירושלים             
בתי הורנשטין,ירושלים             
בתי ויטנברג,ירושלים             
בתי ורשא,ירושלים             
בתי מונקץ,ירושלים             
בתי מחסה,ירושלים             
בתי מינסק,ירושלים             
בתי פרבשטין,ירושלים             
בתי רנד סלנט,ירושלים             
בתיר,ירושלים             
ג'אבר בן חייאן,ירושלים             
ג'אבר בן חייאן סמ1,ירושלים             
ג'אבר בן חייאן סמ2,ירושלים             
ג'אבר בן חייאן סמ4,ירושלים             
ג'אמע אל-זאויה,ירושלים             
ג'אמע אל-זאויה סמ1,ירושלים             
ג'אמע אל-זאויה סמ2,ירושלים             
ג'אמע אל-זאויה סמ4,ירושלים             
ג'אמע אל-זאויה סמ6,ירושלים             
ג'בל אל ג'דיד,ירושלים             
ג'בל מוכבר,ירושלים             
ג'דה,ירושלים             
ג'דה סמ1,ירושלים             
ג'ובראן ח'ליל,ירושלים             
ג'ובראן ח'ליל סמ5,ירושלים             
ג'ובראן ח'ליל סמ6,ירושלים             
ג'ורג' אדם סמית,ירושלים             
ג'ינאו מאיר,ירושלים             
ג'עביץ,ירושלים             
ג'עביץ סמ1,ירושלים             
ג'עביץ סמ2,ירושלים             
ג'עפר א-סאדק,ירושלים             
גאון,ירושלים             
גאוני יעקב,ירושלים             
גאמע עבדין,ירושלים             
גבירצמן משה,ירושלים             
גבל א טור,ירושלים             
גבל אטרש,ירושלים             
גבל אל רויס,ירושלים             
גבל קטן,ירושלים             
גבע,ירושלים             
גבעון,ירושלים             
גבעת אורן,ירושלים             
גבעת אורנים,ירושלים             
גבעת בית הכרם,ירושלים             
גבעת בנימין,ירושלים             
גבעת הארבעה,ירושלים             
גבעת היונים,ירושלים             
גבעת המבתר,ירושלים             
גבעת המטוס,ירושלים             
גבעת התחמושת,ירושלים             
גבעת חנניה,ירושלים             
גבעת משואה,ירושלים             
גבעת עומר,ירושלים             
גבעת קנדה,ירושלים             
גבעת שאול,ירושלים             
גבעת שהין,ירושלים             
גבעת שפירא,ירושלים             
גבריהו חיים,ירושלים             
גד,ירושלים             
גדוד החמישי,ירושלים             
גדוד חרמש,ירושלים             
גדוד מכמש,ירושלים             
גדירי,ירושלים             
גדליה,ירושלים             
גדליהו אלון,ירושלים             
גדעון,ירושלים             
גדרה,ירושלים             
גואטמאלה,ירושלים             
גואל צדק,ירושלים             
גוטליב מאוריציו,ירושלים             
גוייטין דוד,ירושלים             
גול בן ציון,ירושלים             
גולאק אשר,ירושלים             
גולד,ירושלים             
גולדברג לאה,ירושלים             
גולומב,ירושלים             
גולי קניה,ירושלים             
גונן א,ירושלים             
גונן ב,ירושלים             
גונן ג,ירושלים             
גונן ד,ירושלים             
גונן ה,ירושלים             
גונן ו,ירושלים             
גונן ח,ירושלים             
גונן ט,ירושלים             
גורדון,ירושלים             
גוש 60 מוסררה,ירושלים             
גוש 51 מוסררה,ירושלים             
גוש 33 מרכז מסחרי,ירושלים             
גוש 53 מוסררה,ירושלים             
גוש 54 מוסררה,ירושלים             
גוש 59 מוסררה,ירושלים             
גזר,ירושלים             
גיא בן הינום,ירושלים             
גידין,ירושלים             
גיזה,ירושלים             
גיחון,ירושלים             
גילה-צפון מערב,ירושלים             
גינת אגוז,ירושלים             
גל,ירושלים             
גלבר,ירושלים             
גליק נלסון,ירושלים             
גלעד,ירושלים             
גלעדי,ירושלים             
גלעינית,ירושלים             
גלרנטר מנחם,ירושלים             
גמול,ירושלים             
גמזון ראובן,ירושלים             
גמע אל קדים,ירושלים             
גן החיות התנכי,ירושלים             
גן הכוזרי,ירושלים             
גן העשרים,ירושלים             
גני קטמון,ירושלים             
גנרל קניג פייר,ירושלים             
גסטר משה,ירושלים             
גסר א-נסף,ירושלים             
גפני שמחה,ירושלים             
גראללה חוסם א דין,ירושלים             
גראנאדוס,ירושלים             
גרוזנברג,ירושלים             
גרון אל חומוס,ירושלים             
גרונר דב,ירושלים             
גרוס זאב,ירושלים             
גרוסמן,ירושלים             
גרייבסקי פנחס,ירושלים             
גרינברג חיים,ירושלים             
גרינולד,ירושלים             
גריניגר פאול,ירושלים             
גרינשפן הרשל,ירושלים             
גריק פטריאכט,ירושלים             
גרמי ציון,ירושלים             
גרנות,ירושלים             
גרץ צבי,ירושלים             
גרשון מאיר,ירושלים             
גשר החיים,ירושלים             
גת,ירושלים             
גת שמנים,ירושלים             
ד"ר גבי אשכר,ירושלים             
ד"ר יוסף בורג,ירושלים             
ד"ר מלכה שפיגל,ירושלים             
ד'את אל-נטאקין,ירושלים             
ד'את אל-נטאקין סמ1,ירושלים             
ד'ו אלנוריין,ירושלים             
ד'ו אלנוריין סמ2,ירושלים             
ד'ו אלנוריין סמ3,ירושלים             
דאחית אל מועלמין,ירושלים             
דאר א סלאם,ירושלים             
דאר חמד,ירושלים             
דב הוז,ירושלים             
דבה,ירושלים             
דבה סמ2,ירושלים             
דבה סמ4,ירושלים             
דבורה הנביאה,ירושלים             
דביר,ירושלים             
דברי חיים,ירושלים             
דברי ירוחם,ירושלים             
דבש,ירושלים             
דגל ראובן,ירושלים             
דגן,ירושלים             
דגניה,ירושלים             
דה הז יעקב,ירושלים             
דה לימה נחמיה,ירושלים             
דה-רוסי,ירושלים             
דהומיי,ירושלים             
דהרה,ירושלים             
דובב מישרים,ירושלים             
דובדבני ברוך,ירושלים             
דובנוב,ירושלים             
דובר שלום,ירושלים             
דוגה שלמה,ירושלים             
דוד,ירושלים             
דוד (העיר העתיקה),ירושלים             
דוד החזן,ירושלים             
דוד המלך,ירושלים             
דוד מרדכי מאיר,ירושלים             
דוואר אל-נח'יל,ירושלים             
דוויאת,ירושלים             
דוידסון,ירושלים             
דולצ'ין,ירושלים             
דונה גרציה,ירושלים             
דונואס,ירושלים             
דוסטרובסקי אריה,ירושלים             
דוסתאי,ירושלים             
דור ודורשיו,ירושלים             
דורות ראשונים,ירושלים             
דורש טוב,ירושלים             
דינה,ירושלים             
דינוביץ גיטל,ירושלים             
דינור בן ציון,ירושלים             
דיניץ שמחה,ירושלים             
דיסקין,ירושלים             
דיר אבו טור,ירושלים             
דיר אל טפל,ירושלים             
דיר אל סיריאן,ירושלים             
דיר אל עמוד סמ10,ירושלים             
